Advisory Level,Advisory_Date_of_Recommendation,AdvisoryDetail,Advisory_Detail_Description,Bloom_Date_Created,Bloom_Report_ID,Advisory Level,AdvisoryLevelDescription,Contact_Organization,County,Landmark,Observation_Date,Rec_Land_Manager,Regional_Water_Board,Water_Body_Manager,Water_Body_Name,DetailStaticText,Bloom_Longitude_Corrected,Bloom_Latitude
Last verified >90 days ago,11/14/2023,Lake-wide advisory; Updates from routine monitoring program-organization,"Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/10/2023 15:50,3927,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Regional Water Quality Control Board,Riverside,In open water near TMDL LE02,5/12/2022 0:00,City Department,Region 8 - Santa Ana,City Department,Lake Elsinore,Detail,-117.3555,33.66243
Last verified >90 days ago,9/8/2023,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/10/2023 15:48,3925,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Regional Water Quality Control Board,Riverside,Launch Pointe NE dock end,5/13/2022 0:00,City Department,Region 8 - Santa Ana,City Department,Lake Elsinore,Detail,-117.36935,33.67231
Last verified >90 days ago,1/4/2023,Under investigation,This report is under investigation.,1/4/2023 10:51,3869,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Santa Ana Regional Water Quality Control Board,Riverside,Fairmount park,1/1/2023 0:00,,Region 8 - Santa Ana,,Lake Evans,Detail,-117.37623,33.99615
Last verified >90 days ago,5/24/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/10/2023 13:03,3907,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Regional Water Quality Control Board,Riverside,North east shore,5/17/2022 0:00,,Region 8 - Santa Ana,,Lake Hemet,Detail,-116.69849,33.66924
Last verified >90 days ago,2/27/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/17/2023 16:17,3974,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Department of Water Resources,Riverside,Lake Perris mid lake,1/4/2023 0:00,,Region 8 - Santa Ana,,Lake Perris,Detail,-117.17459,33.85694
Last verified >90 days ago,10/16/2023,Rec algal mat general awareness,Water Boards recommends posting of “algal mats general awareness sign” for HABs at this site and nearby access points.,8/25/2023 14:49,4346,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,San Diego Water Board,Riverside,near UGSG gauging station,8/17/2023 0:00,,Region 9 - San Diego,County Water Resources Department,Murrieta Creek,Detail,-117.14363,33.47956
Last verified >90 days ago,9/15/2023,Under investigation,This report is under investigation.,9/8/2023 12:45,4383,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Riverside,near wildlife area,9/8/2023 0:00,,Region 8 - Santa Ana,,Mystic Lake,Detail,-117.08836,33.87903
Last verified >90 days ago,5/11/2023,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,5/5/2023 9:51,4089,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Riverside,Sheffield Park south end flooded creek,5/1/2023 0:00,,Region 9 - San Diego,,Sheffield Park,Detail,-117.10307,33.59495
Last verified >90 days ago,10/16/2023,Rec algal mat general awareness,Water Boards recommends posting of “algal mats general awareness sign” for HABs at this site and nearby access points.,8/25/2023 14:39,4345,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,San Diego Water Board,Riverside,near I-15,8/17/2023 0:00,,Region 9 - San Diego,,Temecula Creek,Detail,-117.138,33.47469
Last verified >90 days ago,7/14/2023,"Suspected bloom, investigation ongoing","A suspected harmful algal bloom was reported, an investigation is underway and this report will be updated once info is provided by the responding organizations.",7/13/2023 14:09,4270,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Sacramento,"601 Alhambra Blvd, Sacramento (H St & Alhambra Blvd)",7/13/2023 0:00,,Region 5 - Central Valley,,McKinley Park,Detail,-121.46277,38.5759
Last verified >90 days ago,11/6/2023,Updates from routine monitoring program-organization; Visual monitoring only-present bloom,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.",1/30/2023 17:12,4052,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Sacramento,near Highway 12 (MOK),1/17/2023 0:00,,Region 5 - Central Valley,,Mokelumne River,Detail,-121.5711,38.1061
Last verified >90 days ago,8/31/2023,Floating/planktonic bloom observed,"Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.",8/30/2023 11:34,4361,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,City of Sacramento,Sacramento,"Rambleoak Circle, City of Sacramento",8/23/2023 0:00,,Region 5 - Central Valley,,Pocket Canal,Detail,-121.52441,38.49216
Last verified >90 days ago,8/31/2023,Floating/planktonic bloom observed,"Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.",8/30/2023 11:28,4360,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,City of Sacramento,Sacramento,St. Anthony's Church,8/23/2023 0:00,,Region 5 - Central Valley,,Pocket Canal,Detail,-121.53484,38.49823
Last verified >90 days ago,11/6/2023,Updates from routine monitoring program-organization; Visual monitoring only-present bloom,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.",1/30/2023 16:22,4048,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Sacramento,near San Joaquin River,1/17/2023 0:00,,Region 5 - Central Valley,,Three Mile Slough,Detail,-121.6861,38.1033
Last verified >90 days ago,8/4/2023,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,8/4/2023 11:17,4317,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,SANTA ANA RWQCB,San Bernardino,Big Bear at Lagonita Point,7/27/2023 0:00,,Region 8 - Santa Ana,,Big Bear Lake,Detail,-116.92892,34.25091
Last verified >90 days ago,8/24/2023,Advisory based on visual and toxins; Lake-wide advisory; Updates from routine monitoring program-organization,"Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/24/2023 9:13,4123,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,SANTA ANA RWQCB,San Bernardino,"Big Bear Lake, Pine Oak Lane North Beach (801BBL678)",5/16/2023 0:00,,Region 8 - Santa Ana,,Big Bear Lake,Detail,-116.97,34.25
Last verified >90 days ago,6/29/2023,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/25/2021 0:00,2713,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,San Bernardino Regional Parks,San Bernardino,boat dock,5/13/2021 0:00,Local Park and Recreation Department,Region 8 - Santa Ana,Unknown,Glen Helen Regional Park,Detail,-117.40405,34.20761
